id,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20
330,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10
331,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,0
332,0,50,100,100,150,200,250,0,20,60,80,100,200,250
333,35,30,29,30,28,28,25,25,25,22,20,19,18,16
334,20,13,100,40,50,100,100,0,0,0,0,0,0,0
335,1,2,3,8,9,10,5,2,3,20,30,2,15,10
336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,100,100,100,100,100,100,100,100,100,100,100,100,100,100
338,100,500,500,500,1000,1000,1000,100,20,100,100,500,500,1000
339,45,50,50,55,57,60,65,15,15,20,50,15,50,50
340,100,150,400,400,500,1000,1000,20,60,50,75,90,100,150
341,125,175,250,325,400,450,500,100,150,200,250,350,450,500
342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,20,20,20,15,15,20,50,10,30,20,20,10,15,40
344,20,20,20,20,100,150,800,20,20,20,20,20,20,800
345,300,NA,400,800,600,500,1000,200,500,1000,500,550,400,1000
346,5,7.5,10,12.5,15,17.5,25,10,15,20,25,30,30,34
347,2,70,70,70,70,100,150,20,20,40,100,120,150,150
348,50,100,100,100,200,200,200,30,30,30,30,1000,1000,1000
349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,1000,900,800,700,600,500,300,NA,NA,NA,NA,NA,NA,NA
351,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
352,0,3,5,7,15,20,20,0,3,5,8,10,10,15
353,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
354,200,100,200,100,200,100,200,100,100,200,100,100,100,200
355,50,500,1000,800,1000,1000,1000,100,400,500,1000,1000,1000,750
356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,250,500,750,750,1000,1000,1000,100,100,300,300,300,300,300
358,5,15,7,17,9,20,25,10,20,12,15,20,15,50
359,1000,1000,1000,1000,1000,1000,1000,500,1000,1000,1000,1000,1000,1000
360,20,70,100,120,150,380,400,80,100,200,300,300,400,500
361,5,10,10,10,25,25,50,10,15,15,15,40,40,50
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,2,4,5,10,15,15,17,6,10,15,16,20,25,25
366,0,0,0,0,1000,1000,1000,0,0,0,0,1000,1000,1000
367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,0,500,100,100,1000,1000,1000,10,121,390,223,233,500,500
369,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA
370,5,50,5,1000,1000,1000,1000,100,1000,100,1000,1000,1000,1000
371,500,500,800,775,750,900,1000,200,500,350,500,750,1000,1000
372,0,0,0,0,0,0,500,0,0,0,0,0,0,500
373,200,500,600,800,1000,1000,1000,10,10,50,34,30,50,100
374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,10,10,20,10,20,20,30,10,15,10,20,20,25,20
376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,200,500,400,800,1000,1000,1000,900,1000,1000,1000,1000,1000,1000
378,100,150,200,250,300,350,400,100,150,200,250,300,350,400
379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,20,20,17,20,20,20,25,15,20,20,30,30,15,30
381,50,100,100,100,300,400,500,100,100,125,100,200,400,500
382,300,460,450,500,669,760,800,457,250,567,600,477,1000,1000
383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,100,100,250,500,500,500,500,100,100,500,500,500,500,500
385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,200,400,500,700,800,900,1000,400,500,600,700,750,800,1000
387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,1000,1000,1000,1000,1000,1000,1000,80,90,80,90,60,60,70
389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,2,1,5,3,5,7,7,NA,NA,NA,NA,NA,NA,NA
393,1000,1000,1000,1000,1000,1000,1000,500,500,600,650,1000,1000,1000
394,500,1000,1000,1000,1000,1000,1000,500,300,500,500,450,1000,1000
395,20,20,20,20,20,20,20,20,20,20,20,20,20,20
